median_income,h3
65932.45,84270d3ffffffff
41884.53,8427737ffffffff
45090.97,84264cdffffffff
54268.62,8427411ffffffff
42291.02,84276bdffffffff
57359.69,8427089ffffffff
50144.92,842668bffffffff
0,842768bffffffff
56423.09,842763bffffffff
41454.65,84264c5ffffffff
0,84276c7ffffffff
56853.32,84270e5ffffffff
76389.66,8427599ffffffff
72244.59,8427485ffffffff
49717.79,842708dffffffff
55337,84270edffffffff
40972.93,8426695ffffffff
50643.3,8426733ffffffff
68810.05,8427199ffffffff
43123.85,84264b9ffffffff
59225.25,8426637ffffffff
50948.97,84261c3ffffffff
52619.49,84261ddffffffff
52418.42,84261d5ffffffff
53284.75,8426189ffffffff
37405.56,8426e93ffffffff
49917.47,842602dffffffff
52046.85,8426153ffffffff
47347.39,8426025ffffffff
52173.12,8426885ffffffff
46174.5,8426cc9ffffffff
45118.31,8426f53ffffffff
48300.48,8426f57ffffffff
55044.9,8426f51ffffffff
59052.49,8426757ffffffff
60166.03,8426407ffffffff
65190.33,84266adffffffff
58555.42,84275b5ffffffff
65035.04,8426ca1ffffffff
53132.34,8426ca5ffffffff
63162.22,842650dffffffff
53397.88,8426505ffffffff
43954.3,8426501ffffffff
66033.02,84271c7ffffffff
67355.54,84271e3ffffffff
65835.25,84261d3ffffffff
69792,84271ebffffffff
68759.53,842718dffffffff
65040.98,8426223ffffffff
56695.78,84271e1ffffffff
61573.89,8426227ffffffff
39120.73,842648bffffffff
57132.3,84268ebffffffff
98057.87,84268c5ffffffff
53634.02,8426703ffffffff
54123.99,8426601ffffffff
48444.23,8426609ffffffff
58235.98,842660bffffffff
48329.01,8426eabffffffff
42177.97,8426ea3ffffffff
52637.14,8426c01ffffffff
56218.61,8426c09ffffffff
66890.81,84275bbffffffff
52743.48,8426db3ffffffff
26325.16,84269a3ffffffff
49239.53,84269abffffffff
31386.89,84269bdffffffff
59172.16,84269a1ffffffff
52708.81,8427491ffffffff
54038.72,8426f13ffffffff
54376.45,8426c4dffffffff
53784.15,8426f1bffffffff
62637.01,8426f11ffffffff
71747.43,8426627ffffffff
60598.16,842671bffffffff
56413.8,84266e1ffffffff
61127.03,84266e3ffffffff
38070.71,84265d9ffffffff
48368.95,84264c3ffffffff
63598.69,8426815ffffffff
74686.34,84262c3ffffffff
62553.75,84274d5ffffffff
56235.41,84270a3ffffffff
69010.98,84262c7ffffffff
51413.93,84270a7ffffffff
68889.63,842751bffffffff
51177.46,84266b7ffffffff
72973.33,842758bffffffff
78077.61,8426d15ffffffff
47774.18,8426ec1ffffffff
51561.15,8426ecdffffffff
57826.77,8426c93ffffffff
57320.03,8426c45ffffffff
58719.81,8426c47ffffffff
53895.8,8426c41ffffffff
63306.13,8426925ffffffff
64175.61,8426921ffffffff
58583.63,842692dffffffff
58602.74,8426923ffffffff
76720.03,8426929ffffffff
63523.08,842692bffffffff
46760.16,8426eadffffffff
49748.75,84265b1ffffffff
47858.02,8426ccdffffffff
43918,8426cc1ffffffff
51784.15,8426729ffffffff
43642.33,8426ec7ffffffff
45961.79,84276a1ffffffff
59522.93,84260e5ffffffff
67268.59,8426747ffffffff
68298.53,8426741ffffffff
49476.95,84268d9ffffffff
52132.02,8426f65ffffffff
43978.01,8426ab3ffffffff
43391.34,8426ec9ffffffff
58200.99,8427091ffffffff
68671.59,8426765ffffffff
47157.5,842624dffffffff
60796.22,8426249ffffffff
67191.74,8426297ffffffff
60435.06,8427493ffffffff
38914.77,84265e7ffffffff
61952.74,8426015ffffffff
62033.23,842601dffffffff
68375.95,8427a83ffffffff
65442.75,8427a95ffffffff
65042.55,8427ab9ffffffff
61778.1,8427a91ffffffff
66869.25,8427a87ffffffff
75531.48,8427a9dffffffff
59806.81,8427a99ffffffff
72067.51,8426265ffffffff
81690.14,8426261ffffffff
60446.78,842699dffffffff
52146.31,8426991ffffffff
66330.94,8426995ffffffff
54726.67,84279b1ffffffff
57245.63,8426631ffffffff
58326.59,84279bbffffffff
67552.55,8426a6dffffffff
59585.91,8426639ffffffff
61081.12,84279b5ffffffff
55017.69,84279b3ffffffff
58038.58,842663bffffffff
36679.84,842658dffffffff
39568.39,84265e3ffffffff
54614.69,8426715ffffffff
53134.93,8426989ffffffff
50218.12,8426981ffffffff
54073.56,842698dffffffff
54134.13,8426985ffffffff
55053.54,8426c91ffffffff
59275.3,84262d1ffffffff
50780.86,84266d9ffffffff
52695.32,84275e9ffffffff
73227.72,8426da1ffffffff
61390.4,8426da5ffffffff
61428.29,8426da7ffffffff
42940.2,84264adffffffff
40643.6,842688bffffffff
53155.43,8426889ffffffff
63486.32,8426881ffffffff
52757.07,842633dffffffff
54151.08,8426339ffffffff
60958.18,8426331ffffffff
60424.44,8426335ffffffff
74228.83,8426b0dffffffff
73351.46,8426b01ffffffff
72591.61,8426b03ffffffff
78071.39,8426b07ffffffff
74844.95,8426b6bffffffff
77436.95,8426b63ffffffff
78750.69,8426b05ffffffff
64676.84,8426b39ffffffff
48141.05,8426b47ffffffff
33422.77,84264e5ffffffff
53991.55,84260d3ffffffff
61539.12,84274b7ffffffff
45360.04,84265a7ffffffff
56918.55,8427181ffffffff
67478.56,8427189ffffffff
66398.41,842718bffffffff
63309.6,8426da3ffffffff
66770.72,84271a9ffffffff
49006.43,84271e7ffffffff
54462.08,842642bffffffff
52725.45,8426465ffffffff
53062.4,842645dffffffff
57931.94,8426e27ffffffff
49370.66,8426e21ffffffff
51895.48,842654bffffffff
50470.31,8426e25ffffffff
40929.82,8426eb9ffffffff
51247.48,842624bffffffff
70683.03,8427ab1ffffffff
68102.7,8427abbffffffff
57415.65,8426cb7ffffffff
62193.61,842670dffffffff
56030.92,8426709ffffffff
65744.37,84279a5ffffffff
61980.67,84279adffffffff
57056.62,84266ebffffffff
41693.58,84265e5ffffffff
53143.29,8427557ffffffff
51273.24,8426119ffffffff
48902.05,842611bffffffff
52779.34,8426111ffffffff
60389.79,8426013ffffffff
54177.94,84279bdffffffff
55293.09,84279b9ffffffff
45267.48,842650bffffffff
56791.82,84266c9ffffffff
40676.76,84264e1ffffffff
48963.71,8426eb5ffffffff
43331.22,84274cdffffffff
41986.44,84265abffffffff
49461.17,84276b3ffffffff
44662.3,84264e7ffffffff
46581.63,842609bffffffff
41275.96,8427b33ffffffff
44099.5,842786dffffffff
40024.82,8427865ffffffff
43139.26,8427b31ffffffff
41552,8427b3bffffffff
46483.64,84266b5ffffffff
44242.26,84268a7ffffffff
48411.39,84268a5ffffffff
42284.6,84268a1ffffffff
48627.45,842699bffffffff
45759.5,84268e3ffffffff
48400.32,84268e7ffffffff
35240.31,84268a9ffffffff
38297.21,84265bbffffffff
69489.26,84262b7ffffffff
47632.98,8427405ffffffff
52160.28,8426527ffffffff
73974.07,8426801ffffffff
62582,8426809ffffffff
59909.6,842680dffffffff
56447.33,8426c1bffffffff
42696.28,84264b5ffffffff
62339.54,842673bffffffff
45685.04,84264a1ffffffff
41631.89,84269d3ffffffff
46223.4,84268abffffffff
31662.76,84268adffffffff
47413.04,84269dbffffffff
51491.98,84269d1ffffffff
38463.93,8426481ffffffff
98775.2,842621bffffffff
58557.98,84266abffffffff
64324.05,84264d3ffffffff
56640.76,8427193ffffffff
67858.34,8427197ffffffff
55839.94,8426455ffffffff
90232.42,8426813ffffffff
100277.04,842681bffffffff
69432.41,8426811ffffffff
60776.05,8426663ffffffff
50064.5,8426ab9ffffffff
49145.37,8426a95ffffffff
48948.3,8426abbffffffff
52195.44,8426a83ffffffff
57026.17,842656bffffffff
63815.19,8426429ffffffff
64936.25,84275a7ffffffff
47993.01,8426723ffffffff
61750.49,8426e63ffffffff
65605.09,8426e0dffffffff
77821.35,8426831ffffffff
55416.03,8426837ffffffff
74200.5,8426833ffffffff
57602.47,8426287ffffffff
54558.72,84262bdffffffff
51458.16,8426443ffffffff
44758.17,84264abffffffff
53508.09,84265bdffffffff
50775.62,84265a3ffffffff
44582.23,8426699ffffffff
51534.96,8426ec5ffffffff
47189.2,842668dffffffff
52367.03,8426309ffffffff
58819.99,8426343ffffffff
56704.68,8426347ffffffff
58461.53,84262e3ffffffff
39010.07,8426435ffffffff
41484.82,8426437ffffffff
43497.1,8427413ffffffff
50430.96,8427551ffffffff
51689.87,8426cd3ffffffff
46771.68,84274ebffffffff
49033.62,84266a3ffffffff
55235.57,84274ddffffffff
57643.64,8426ae3ffffffff
47906.64,8426a8dffffffff
56907.59,8426aebffffffff
46829.51,8426a55ffffffff
50389.97,8426a5dffffffff
55860.61,84262b9ffffffff
62084.62,8426a43ffffffff
51339.99,842750dffffffff
51304.78,8426a51ffffffff
53721.54,84278b7ffffffff
63141.96,8426a4bffffffff
52216.34,8427505ffffffff
48513.73,8426ee7ffffffff
84585.5,8426a09ffffffff
45723.95,8427501ffffffff
67038.37,84269c9ffffffff
55490.77,84269cbffffffff
69015.4,8426835ffffffff
69133.71,84269c1ffffffff
49717.61,8426c9bffffffff
54443.16,84266e9ffffffff
37647.56,84268d3ffffffff
44016.68,8426f2dffffffff
46910.49,8426f29ffffffff
50386.07,84268dbffffffff
39481.04,84268d7ffffffff
48998.82,84268d1ffffffff
51912.88,8426f67ffffffff
88569.1,842690dffffffff
46598.97,8426d83ffffffff
49194.31,8426d81ffffffff
51979.64,8427447ffffffff
41576.99,8426d8bffffffff
38048.46,84276abffffffff
63601.5,8426555ffffffff
43591.25,8426e11ffffffff
56079.91,8426e15ffffffff
53394.15,8426c5bffffffff
52497.83,8426c59ffffffff
59015.9,8426051ffffffff
73465.65,8426055ffffffff
56545.05,84260a3ffffffff
81626.81,84260a1ffffffff
41059.16,8426599ffffffff
41486.49,84265d3ffffffff
59229.44,84278ddffffffff
84011.58,8427ab7ffffffff
65387.67,84261d9ffffffff
60738.54,8426033ffffffff
57843.36,84266e5ffffffff
62734.38,8426e05ffffffff
63075.76,8426635ffffffff
64130.06,8426653ffffffff
49546.8,8426b09ffffffff
56761.66,8426b0bffffffff
50120.21,8426b43ffffffff
59279.04,8426b55ffffffff
62308.44,84274b1ffffffff
52459.57,842672bffffffff
42572.97,8426eb1ffffffff
50810.81,8426f0bffffffff
51802.9,8426f55ffffffff
77257.75,8426cabffffffff
50410.24,842665dffffffff
58954.81,84275c1ffffffff
50064.36,84275c7ffffffff
46597.44,84264c9ffffffff
46551.78,84266a7ffffffff
52591.82,842645bffffffff
61054.77,842603bffffffff
62093.96,8426017ffffffff
30495.27,8426591ffffffff
41358.16,842659dffffffff
55130.08,8426c49ffffffff
56859.75,8426e23ffffffff
57066.47,84266c1ffffffff
53797.37,8426097ffffffff
51331.09,8427913ffffffff
42501.23,84279e9ffffffff
42599.1,84279edffffffff
43942.17,8427917ffffffff
47226.61,8426537ffffffff
49386.02,8426535ffffffff
48291.47,8426531ffffffff
42177.29,8426539ffffffff
46938.44,8426091ffffffff
50172.61,8426521ffffffff
49293.97,8426525ffffffff
59648.24,8426e85ffffffff
43633.2,8426d6bffffffff
37077.6,8426d6dffffffff
52457.94,8426897ffffffff
37936,8426d61ffffffff
36651.74,8426d63ffffffff
39201.87,8426d65ffffffff
38588.25,8426d69ffffffff
49826.82,8426d05ffffffff
45994.86,8426d45ffffffff
32445.72,8426d67ffffffff
31461.76,8426d29ffffffff
48758.48,8426511ffffffff
53265.17,8426ecbffffffff
63257.67,842758dffffffff
59904.84,84260e1ffffffff
59955.12,84271dbffffffff
55326.23,84270e7ffffffff
38228.85,8426e89ffffffff
45834.69,8426099ffffffff
49423.3,8426cb3ffffffff
62353.15,84275b9ffffffff
62383.82,8426237ffffffff
60131.8,8426233ffffffff
44656.4,8426cc3ffffffff
49742.41,8426cc7ffffffff
57284.66,8426307ffffffff
43615.4,842632bffffffff
59645.3,8426713ffffffff
62019.28,84264a7ffffffff
60568.12,8427483ffffffff
53020.92,84260b5ffffffff
59632.17,84260c1ffffffff
65116.52,8426607ffffffff
64115.79,8427537ffffffff
56578.18,8427533ffffffff
65780.27,84262d9ffffffff
52876.52,84264cbffffffff
46473.01,842792dffffffff
55060.26,8427925ffffffff
53993.42,8427967ffffffff
55473.09,8427ae5ffffffff
54407.86,8427a33ffffffff
54022.69,8427859ffffffff
54673.16,8427a37ffffffff
37323.54,84265a9ffffffff
36284.56,84265a1ffffffff
47815.12,84261a7ffffffff
51763.67,84261a3ffffffff
57550.01,8426f49ffffffff
47330.47,8426021ffffffff
52028.14,84261bdffffffff
48865.35,84261b1ffffffff
53911.89,84261b9ffffffff
51329.09,842751dffffffff
61542.1,8427519ffffffff
51354.66,84271adffffffff
54320.71,8426eebffffffff
50997.27,84271a1ffffffff
53176.96,8426e49ffffffff
58523.56,84275bdffffffff
58049.26,8426683ffffffff
75925.31,842608dffffffff
47668.49,8426de5ffffffff
58889.14,8426b45ffffffff
56242.05,8426b41ffffffff
53493.75,8426f17ffffffff
50557.97,8426c69ffffffff
54692.65,8426c6dffffffff
61295.75,842661dffffffff
57481.47,8426603ffffffff
53962.75,8426509ffffffff
53197.04,8427489ffffffff
37664.58,8427959ffffffff
38691.79,8427951ffffffff
52216.85,842795dffffffff
58908.92,8427957ffffffff
51035.58,8427b37ffffffff
39586.33,8427955ffffffff
53379.82,8427953ffffffff
49699.92,84276a5ffffffff
59445.34,8426685ffffffff
43018.05,8426eddffffffff
41933.43,8426517ffffffff
76987.7,8426269ffffffff
84934.17,8426905ffffffff
93099.74,8426963ffffffff
68589.45,8426907ffffffff
51686.73,8426d55ffffffff
51001.31,8426d5dffffffff
57237.91,8426d09ffffffff
52227.79,8426d43ffffffff
67622.2,842621dffffffff
60237.14,842620bffffffff
41996.23,8426433ffffffff
42193.07,84264edffffffff
64635.63,842604bffffffff
54873.71,8426235ffffffff
64486.13,8426049ffffffff
76790.69,8426aa7ffffffff
65460.64,8427585ffffffff
49965.22,8426285ffffffff
57532.82,8426711ffffffff
40922.32,8426421ffffffff
60836.36,8426203ffffffff
65893.93,8426215ffffffff
75697.32,8426621ffffffff
44582.87,8426725ffffffff
35443.36,8426513ffffffff
52623.45,8426615ffffffff
76363.42,8427195ffffffff
74516.77,8426213ffffffff
55445.39,8426b25ffffffff
38488.21,8426ccbffffffff
39885.54,8426d93ffffffff
62009.32,8427097ffffffff
55374.71,84270bbffffffff
60057.17,842749dffffffff
59049.83,8426667ffffffff
71383.2,842666bffffffff
65872.64,8426661ffffffff
75839.31,8426e3dffffffff
71330.21,8426c85ffffffff
39852.06,8426eb7ffffffff
49414.66,84264e9ffffffff
53591.87,8426087ffffffff
47300.12,84260b9ffffffff
59672.59,842628dffffffff
60162.3,84262e7ffffffff
74642.52,84262b3ffffffff
52030.26,8426f69ffffffff
59796.95,84275e1ffffffff
51787.24,84269bbffffffff
58022.93,8426f41ffffffff
51443.19,8426f4bffffffff
45359.1,8427969ffffffff
45358.87,842796bffffffff
48551.24,8427961ffffffff
53642.41,84275e7ffffffff
42599.48,842796dffffffff
38649.56,8426589ffffffff
56790.03,84260cdffffffff
61803.78,842601bffffffff
39006.58,8426065ffffffff
50882.63,8426159ffffffff
39245.71,84264bdffffffff
57850.37,842676bffffffff
56938.85,8426cd7ffffffff
47702.4,84265d7ffffffff
53179.74,8426f59ffffffff
49248.57,8426491ffffffff
68931.42,8426647ffffffff
61965.51,8426289ffffffff
53915.62,84260e9ffffffff
56748.21,842640bffffffff
54705.54,8426651ffffffff
55094.75,8426659ffffffff
44983.31,8426dd5ffffffff
60830.92,8426d89ffffffff
48634.9,842625bffffffff
51097.56,8427565ffffffff
49965.1,8426259ffffffff
65826.66,8426207ffffffff
66350.34,84264dbffffffff
61370.36,842756bffffffff
59880.04,8427561ffffffff
35379.03,8426899ffffffff
41383.15,8426f25ffffffff
41776.32,842689bffffffff
52962.32,8426731ffffffff
73291.91,8427587ffffffff
67024.27,8426743ffffffff
56880.76,8426185ffffffff
63314.89,8426187ffffffff
52747.64,8427825ffffffff
45183.19,8427827ffffffff
49996.65,842791bffffffff
45678.55,8427821ffffffff
46211.2,84264b7ffffffff
47954.32,84279cdffffffff
68449.47,84266cdffffffff
58302.14,8426a65ffffffff
54122.21,84279b7ffffffff
51932,8426b59ffffffff
71685.1,8426b5bffffffff
62908.91,84275b3ffffffff
57038.71,84275b1ffffffff
39131.12,8426ce1ffffffff
52146.77,84262a1ffffffff
60841.57,842681dffffffff
60153.33,8426803ffffffff
41633.14,8426413ffffffff
38650.06,842648dffffffff
42422.94,8426489ffffffff
57251.25,842628bffffffff
43689.91,84271e5ffffffff
43435.63,842641bffffffff
43428.88,84274c5ffffffff
55783.23,84271d3ffffffff
64664.56,8426201ffffffff
58649.3,84264a5ffffffff
39376.01,84265cdffffffff
34365.57,84265c5ffffffff
57388.8,84260c7ffffffff
51161.2,8426739ffffffff
70741.7,8426267ffffffff
60003,8426295ffffffff
57517.53,8426229ffffffff
60935.19,842629dffffffff
35529.37,8426329ffffffff
45480.63,8426305ffffffff
34744.28,84265b9ffffffff
49209.51,8426e91ffffffff
59445.85,84275abffffffff
51296.6,84275a9ffffffff
57568.9,842670bffffffff
61197.34,842623bffffffff
58654.93,84262edffffffff
49464.47,8426243ffffffff
56659.8,8426755ffffffff
61687.78,84266a9ffffffff
42802.44,84276a7ffffffff
50264.06,842741bffffffff
52428.22,8426c13ffffffff
48869.17,8427509ffffffff
62613.19,842622dffffffff
58194.29,8426c6bffffffff
44747.94,8426c35ffffffff
44452.32,8426dcbffffffff
44426.77,8426ea7ffffffff
57749.43,8426441ffffffff
55820.6,84262e5ffffffff
64723.68,8426689ffffffff
43131.76,842649dffffffff
76688.74,8426085ffffffff
55271.67,8426883ffffffff
50580.2,842742bffffffff
40726.14,8427429ffffffff
52196.21,8426f5bffffffff
43815.16,8426167ffffffff
25144.33,8426129ffffffff
43001.62,842612dffffffff
41883.52,8426121ffffffff
45738.56,8426163ffffffff
38391.03,842612bffffffff
55518.67,842615bffffffff
53676.15,8426067ffffffff
59880.29,8426d01ffffffff
58205.14,8426d0dffffffff
59510.73,8426081ffffffff
52639.86,8426083ffffffff
33472.89,8426583ffffffff
59161.53,8426e41ffffffff
50083.94,8426e4dffffffff
52668.91,8426e45ffffffff
52084.83,8426f33ffffffff
54629.88,8426f31ffffffff
56384.35,8426f3bffffffff
59845.67,8426283ffffffff
48878.78,84274c7ffffffff
63108.74,8426217ffffffff
46742.22,8426f2bffffffff
45872.49,8426f23ffffffff
50512.06,8427529ffffffff
43978.67,8426f21ffffffff
53103.58,842655bffffffff
52768.81,84260bdffffffff
65611.82,84260abffffffff
54858.59,8426453ffffffff
51889.22,8426451ffffffff
38263.86,8426cddffffffff
45175.43,842673dffffffff
42027.27,8426735ffffffff
55340,84260d5ffffffff
64343.51,84260ddffffffff
61920.47,842655dffffffff
66200.62,8426dabffffffff
63134.82,8426625ffffffff
89183.47,8427581ffffffff
65573.69,8427531ffffffff
72537.18,842759dffffffff
55926.94,842616bffffffff
67452.15,8426165ffffffff
64711.74,8426161ffffffff
58000.98,8426169ffffffff
41683.04,8426145ffffffff
70270.95,8426c11ffffffff
54705.82,8426c15ffffffff
60658.67,8426245ffffffff
72440.53,8426d5bffffffff
50184.63,8426d51ffffffff
62461.73,8426d59ffffffff
54421.33,8426c53ffffffff
83106.94,8427523ffffffff
60808.43,842691bffffffff
63737.61,8426827ffffffff
65869.39,84269cdffffffff
57964.85,8426823ffffffff
61182.47,842753dffffffff
68983.71,842675dffffffff
54462.92,8426e03ffffffff
56759.99,8426e3bffffffff
72839.1,8426e39ffffffff
64351.21,8426947ffffffff
78777.46,8426945ffffffff
74217.44,8426619ffffffff
75953.58,84262cbffffffff
71473,8427b35ffffffff
59726.46,842794bffffffff
56503.81,8427949ffffffff
59763.04,8426e53ffffffff
74326.07,8426e5bffffffff
67031.16,8426f03ffffffff
58939.06,8426f07ffffffff
60278.53,8426f39ffffffff
68147.18,8426f01ffffffff
60748.66,8426299ffffffff
58414.5,842649bffffffff
78110.98,842719dffffffff
55566.51,8426cedffffffff
57890.06,84260a7ffffffff
56747.57,842753bffffffff
69011.38,8426c0bffffffff
65127.25,8426c57ffffffff
80616.47,84260a9ffffffff
67236.44,84260e7ffffffff
102486.15,84268c1ffffffff
59069.85,84271d5ffffffff
71690.71,84274d7ffffffff
51730.34,8426717ffffffff
41108.5,8426507ffffffff
44165.83,842652bffffffff
46402.53,84275ebffffffff
47982.98,84270adffffffff
49635.37,84270a9ffffffff
49311.05,8426917ffffffff
49703.08,84269edffffffff
49492.19,8426913ffffffff
49209,84269e9ffffffff
64847.41,84269c5ffffffff
55589.81,84269ebffffffff
55606.86,8426911ffffffff
55149.79,84269e1ffffffff
48532.14,8426ac7ffffffff
48381.32,8426ac1ffffffff
45214.42,8426ac3ffffffff
52301.71,8426ac5ffffffff
37789.92,8426ed3ffffffff
52148.92,8426987ffffffff
55385.69,8426701ffffffff
46818.52,8426a3bffffffff
53613.47,8426aedffffffff
57894.59,8426a33ffffffff
37348.88,8426dc5ffffffff
46425.46,8426dcdffffffff
45231.99,8426d13ffffffff
50214.27,8426559ffffffff
58050.37,84262a7ffffffff
50956.85,84275c5ffffffff
52780.9,8426c89ffffffff
39812.87,8426595ffffffff
43667.42,8426ed9ffffffff
52858.09,8426db1ffffffff
56829.98,8426db7ffffffff
58813.56,842629bffffffff
61038.14,8426b2dffffffff
68156.98,8426311ffffffff
68838.85,8426319ffffffff
52190.84,842631bffffffff
48600.23,8426519ffffffff
68941.47,8426257ffffffff
63529.45,842620dffffffff
61879.61,8426605ffffffff
38824.13,84265adffffffff
39128.08,84265a5ffffffff
46457.21,8426737ffffffff
45585.38,8426d9dffffffff
43316.13,8426dd7ffffffff
53645.24,842643dffffffff
46006.63,8426431ffffffff
58667.14,8426439ffffffff
55256.4,842642dffffffff
61156.97,84268e1ffffffff
58387.41,8426419ffffffff
50249.15,84266a5ffffffff
54790.42,8426c9dffffffff
41502.52,84264e3ffffffff
42433.41,8427559ffffffff
46066.02,8427465ffffffff
48878.74,8426ce9ffffffff
59333.43,84266edffffffff
50763.82,842603dffffffff
51377.78,8426035ffffffff
55600.39,8426023ffffffff
62694.63,8426749ffffffff
53097.86,8426705ffffffff
58796.28,8426cadffffffff
60174.03,8426ca9ffffffff
59713.57,84266d7ffffffff
85875.49,8426aa5ffffffff
62717.76,8426c8bffffffff
53956.89,8426cd5ffffffff
43262.08,8426d91ffffffff
54568.64,8426d97ffffffff
62440.95,8426db5ffffffff
60200.9,84271d7ffffffff
56217.26,8426dbdffffffff
40530.54,84265edffffffff
58393.89,842665bffffffff
52360.95,8426c05ffffffff
71792.78,84275cbffffffff
54559.18,84274d9ffffffff
79519.12,8426b61ffffffff
73885.29,8426b6dffffffff
78770,8426b69ffffffff
49347.99,8426ee1ffffffff
62233.24,8426ee3ffffffff
51557.98,84274c3ffffffff
73580.45,8426b29ffffffff
75426.36,8426b2bffffffff
46276.08,8427421ffffffff
52809.13,8427427ffffffff
60965.49,8427423ffffffff
39999.27,842658bffffffff
49328.39,842744bffffffff
53194.31,8426547ffffffff
52576.45,8426545ffffffff
60782.28,842752dffffffff
45957.86,8427461ffffffff
51812.36,842671dffffffff
51389.71,8427469ffffffff
50675.69,8426e13ffffffff
46494.49,8426e1bffffffff
50087.42,84274bdffffffff
67344.12,84260d1ffffffff
55986.39,8426a99ffffffff
52316.98,8426a9dffffffff
60326.91,8426655ffffffff
71609.65,8426819ffffffff
71046.49,8426853ffffffff
52152.56,8426707ffffffff
58635.89,84262a9ffffffff
46445.66,8426497ffffffff
37526.98,84264a3ffffffff
52440.13,8426f19ffffffff
37358.5,8426697ffffffff
46022.43,84265b3ffffffff
44838.97,842798bffffffff
51042.87,842799dffffffff
49761.57,8427983ffffffff
45023.23,8427981ffffffff
51972.42,8426ee9ffffffff
57939.35,842622bffffffff
56324.05,8426205ffffffff
67708.39,84266d3ffffffff
74167,8427521ffffffff
36658.39,84265ddffffffff
55165.99,842633bffffffff
57464.02,8426315ffffffff
65011.14,8426317ffffffff
57778.95,8426617ffffffff
56072.57,842752bffffffff
65401.32,842652dffffffff
81554.38,84262ddffffffff
71969.26,842662dffffffff
54051.74,8426457ffffffff
47678.37,8426417ffffffff
57950.11,8426231ffffffff
38510.08,84264b3ffffffff
51963.17,8426135ffffffff
46720.26,8426123ffffffff
53560.3,8426ac9ffffffff
57057.99,842613dffffffff
45422.08,8426acbffffffff
